city_area,state,ufo_shape,encounter_length,date_documented,latitude,longitude,date
monterey,ca,egg,10.0,4/13/2010,36.6002778,-121.8936111,04-03-2010
sacramento,ca,oval,45.0,1/5/2011,38.5816667,-121.4933333,11-28-2010
studio city,ca,cylinder,300.0,5/15/2013,34.1486111,-118.3955556,03-28-2013
river falls,wi,light,1200.0,7/22/2013,44.8613889,-92.6236111,06-29-2013
lake charles,la,triangle,600.0,4/26/2000,30.2263889,-93.2172222,04-22-2000
tarpon springs,fl,light,5.0,3/4/2008,28.1458333,-82.7569444,10-26-2007
pelzer,sc,changing,1200.0,11/21/2010,34.6422222,-82.4561111,09-03-2010
morgantown,wv,disk,120.0,4/28/2001,39.6294444,-79.9561111,03-25-2001
port wentworth,ga,cigar,1200.0,2/14/2008,32.1488889,-81.1633333,06-01-1980
huntington,ny,flash,4.0,6/12/2011,40.8680556,-73.4261111,06-07-2011
mountain view,ca,light,4.0,10/12/2001,37.3861111,-122.0827778,09-12-2001
richmond,va,light,2.0,12/5/2013,37.5536111,-77.4605556,12-03-2013
perrine,fl,formation,6.0,11/1/1998,25.6047222,-80.3538889,10-25-1998
hopkinton,ny,fireball,120.0,1/24/2012,44.6902778,-74.7036111,01-11-2012
warsaw,mo,triangle,10.0,10/11/2005,38.2430556,-93.3816667,05-23-2005
owensboro,ky,cylinder,40.0,4/18/2012,37.7741667,-87.1133333,04-12-2012
madera,pa,fireball,600.0,7/16/2003,40.8283333,-78.4352778,06-15-1978
el cajon,ca,light,3600.0,4/18/2014,32.7947222,-116.9616667,04-15-2014
riverdale,ut,light,3.0,2/8/2005,41.1769444,-112.0030556,02-04-2005
mesa,az,rectangle,240.0,1/24/2012,33.4222222,-111.8219444,01-15-2012
salinas,ca,disk,600.0,7/5/2008,36.6777778,-121.6544444,08-10-1981
north kingstown,ri,light,180.0,12/12/2009,41.55,-71.4666667,09-19-2009
delray beach,fl,light,60.0,3/10/2011,26.4611111,-80.0730556,03-10-2005
chicago,il,sphere,705.0,6/14/2012,41.85,-87.65,06-06-2012
prescott,az,formation,600.0,10/15/2002,34.54,-112.4677778,10-12-2002
de borgia,mt,light,3600.0,8/5/2009,47.3758333,-115.345,07-25-2009
bullhead city,az,light,1200.0,11/2/1999,35.1477778,-114.5675,10-25-1999
cape coral,fl,sphere,240.0,7/17/2011,26.5625,-81.9497222,07-14-2011
west covina,ca,cross,300.0,8/28/2003,34.09,-117.8894444,07-05-2003
terre haute,in,formation,120.0,11/19/2012,39.4666667,-87.4138889,11-18-2012
miami,fl,teardrop,3600.0,11/19/2012,25.7738889,-80.1938889,11-16-1975
fontana,ca,light,5.0,7/14/1999,34.0922222,-117.4341667,03-15-1995
brighton (west of detroit),mi,rectangle,600.0,1/11/2002,42.5294444,-83.7802778,08-31-1997
williamsburg,ky,circle,10.0,10/31/2008,36.7433333,-84.1597222,10-07-2008
concord,nc,light,240.0,2/22/2002,35.4086111,-80.5797222,02-12-2002
helena,mt,disk,2100.0,8/16/2002,46.5927778,-112.0352778,08-14-2001
slatington,pa,circle,3600.0,9/24/2012,40.7483333,-75.6122222,09-02-2012
santa paula,ca,disk,14400.0,8/5/2009,34.3541667,-119.0583333,07-25-2009
eustis,fl,sphere,600.0,1/17/2004,28.8525,-81.6855556,11-19-2003
citrus heights,ca,disk,60.0,6/3/2010,38.7072222,-121.28,11-01-1983
rocky mount,nc,fireball,30.0,1/7/2000,35.9380556,-77.7908333,12-11-1999
northville,ny,fireball,600.0,9/30/2013,43.2255556,-74.1725,09-19-2013
lakewood,nj,disk,120.0,10/17/2003,40.0977778,-74.2180556,09-15-2000
savannah,ga,light,300.0,1/5/2011,32.0833333,-81.1,07-19-2008
ashford hollow,ny,oval,10.0,10/30/2006,42.4033333,-78.6855556,08-11-2006
edina,mn,light,10.0,8/7/2007,44.8897222,-93.3497222,07-14-2007
shamokin,pa,other,900.0,7/5/2008,40.7888889,-76.5591667,06-25-2008
gilman city,mo,formation,600.0,3/13/2012,40.1416667,-93.8722222,05-21-2010
renton,wa,cigar,180.0,10/28/2002,47.4830556,-122.2158333,10-16-2002
riverside,ca,fireball,180.0,10/11/2005,33.9533333,-117.3952778,09-22-2005
homewood,al,light,3.0,12/20/2012,33.4716667,-86.8008333,12-13-2012
evergreen,co,light,600.0,2/18/2001,39.6333333,-105.3166667,01-14-2001
macomb,mi,light,600.0,9/24/2012,42.7008333,-82.9591667,08-11-2012
kingman (north of&#44 mt. tipton area),az,sphere,60.0,9/24/2003,35.1894444,-114.0522222,11-06-1989
middlesboro,ky,fireball,40.0,7/14/2013,36.6083333,-83.7166667,07-11-2013
sheridan,in,triangle,180.0,8/5/2009,40.135,-86.2205556,06-14-2009
palacios,tx,cylinder,300.0,12/23/2013,28.7077778,-96.2172222,12-21-2013
sheridan,or,triangle,5400.0,9/26/1998,45.0994444,-123.3936111,09-12-1998
benbrook,tx,other,60.0,5/29/2011,32.6730556,-97.4602778,05-25-2011
knoxville,tn,formation,20.0,1/28/1999,35.9605556,-83.9208333,11-17-1998
huntley,mt,rectangle,3600.0,4/8/2002,45.8994444,-108.3008333,01-21-2002
chicago,il,disk,300.0,8/7/2007,41.85,-87.65,07-05-2007
eldridge,ca,fireball,120.0,8/5/2012,38.3488889,-122.5097222,02-01-2003
franklin,nc,circle,1800.0,11/20/2002,35.1822222,-83.3816667,09-25-1999
bakersfield,ca,disk,180.0,11/20/2001,35.3733333,-119.0177778,06-15-1989
fairfax,ca,egg,300.0,10/27/2004,37.9872222,-122.5877778,10-18-2004
jonesboro (near),la,changing,180.0,11/26/2003,32.2411111,-92.7158333,12-31-1998
newtown,ct,light,300.0,6/12/2007,41.4138889,-73.3038889,06-11-2007
milford,ks,light,60.0,12/20/2012,39.1683333,-96.9122222,11-28-2012
centralia,wa,circle,4.0,12/16/2005,46.7163889,-122.9530556,12-05-2005
wasilla,ak,triangle,300.0,5/15/2013,61.5813889,-149.4394444,03-16-2013
west covina,ca,light,300.0,7/11/2000,34.09,-117.8894444,07-07-2000
north hollywood,ca,rectangle,120.0,11/19/2012,34.1722222,-118.3780556,11-04-2012
nokomis,fl,sphere,5.0,1/28/1999,27.1188889,-82.4444444,02-21-1998
boise,id,other,30.0,11/2/1999,43.6136111,-116.2025,06-20-1999
wiley,ga,flash,300.0,3/11/2006,34.7983333,-83.4202778,09-12-1982
gainesville,va,light,900.0,1/10/2009,38.7955556,-77.6141667,01-03-2009
nags head,nc,sphere,300.0,8/5/2012,35.9572222,-75.6244444,07-27-2012
willits,ca,fireball,480.0,1/24/2014,39.4097222,-123.3544444,01-18-2014
rose city,mi,light,240.0,10/8/2007,44.4213889,-84.1166667,08-17-2007
ashley,il,light,240.0,9/30/2013,38.3294444,-89.1908333,09-12-2013
scottsdale,az,light,900.0,1/16/2014,33.5091667,-111.8983333,01-09-2014
everett,wa,light,15.0,5/29/2012,47.9791667,-122.2008333,05-13-2012
laytonville,ca,fireball,120.0,3/18/2014,39.6883333,-123.4816667,03-04-2014
charleston,sc,oval,1800.0,10/10/2011,32.7763889,-79.9311111,08-28-2011
pitman,nj,circle,2.0,10/10/2011,39.7327778,-75.1319444,09-18-2011
mishawaka,in,fireball,600.0,8/7/2007,41.6619444,-86.1586111,07-29-2007
wichita,ks,egg,1200.0,4/3/2011,37.6922222,-97.3372222,04-01-2011
