city_area,state,ufo_shape,encounter_length,date_documented,latitude,longitude,year
temperance,mi,oval,18000.0,10/31/2003,41.7791667,-83.5688889,2003
crescent beach,sc,formation,37800.0,1/17/2004,33.8075,-78.7011111,2003
albuquerque,nm,light,180.0,2/1/2007,35.0844444,-106.6505556,2003
gleason,wi,sphere,1800.0,9/2/2005,45.3088889,-89.4963889,2003
mahwah,nj,triangle,180.0,12/12/2011,41.0886111,-74.1441667,2004
terre haute,in,sphere,5.0,10/27/2004,39.4666667,-87.4138889,2004
indianapolis,in,oval,15.0,10/27/2004,39.7683333,-86.1580556,2004
morgantown,wv,circle,10.0,5/24/2005,39.6294444,-79.9561111,2004
rock island,il,sphere,3600.0,10/27/2004,41.5094444,-90.5786111,2004
ripley,ny,circle,900.0,10/27/2004,42.2669444,-79.7108333,2004
faribault,mn,flash,900.0,10/27/2004,44.295,-93.2686111,2004
mansfield,oh,light,7200.0,10/27/2004,40.7583333,-82.5155556,2004
columbia,mo,light,60.0,11/28/2007,38.9516667,-92.3338889,2004
gleason,wi,sphere,3000.0,9/2/2005,45.3088889,-89.4963889,2004
seattle,wa,other,60.0,10/11/2005,47.6063889,-122.3308333,2005
apache junction,az,other,30.0,10/11/2005,33.415,-111.5488889,2005
north miami beach,fl,oval,1800.0,10/20/2005,25.9327778,-80.1627778,2005
los angeles,ca,egg,10.0,10/20/2005,34.0522222,-118.2427778,2005
loretto,pa,triangle,300.0,10/30/2006,40.5030556,-78.6305556,2005
north miami beach,fl,other,3600.0,10/11/2005,25.9327778,-80.1627778,2005
east wenatchee,wa,light,1200.0,10/20/2005,47.4158333,-120.2919444,2005
hendersonville,nc,light,600.0,10/11/2005,35.3186111,-82.4611111,2005
brainerd,mn,disk,300.0,10/30/2006,46.3580556,-94.2005556,2005
pennington,tx,diamond,3600.0,2/1/2007,31.1911111,-95.2352778,2006
san francisco,ca,triangle,600.0,10/30/2006,37.775,-122.4183333,2006
savannah,tn,light,600.0,10/30/2006,35.2247222,-88.2491667,2006
waynesboro,va,triangle,600.0,10/30/2006,38.0683333,-78.8897222,2006
bray,ok,other,360.0,12/12/2009,34.6377778,-97.8172222,2006
waycross,ga,light,120.0,10/30/2006,31.2133333,-82.3541667,2006
wolfforth,tx,disk,300.0,10/30/2006,33.5058333,-102.0086111,2006
lebanon,or,light,14400.0,11/28/2007,44.5366667,-122.9058333,2007
stockbridge,ga,changing,3600.0,11/28/2007,33.5441667,-84.2338889,2007
denver,co,changing,2700.0,11/28/2007,39.7391667,-104.9841667,2007
jacksonville,fl,sphere,30.0,3/4/2008,30.3319444,-81.6558333,2007
indio,ca,oval,600.0,6/9/2009,33.7205556,-116.2147222,2007
owego,ny,triangle,10800.0,11/28/2007,42.1033333,-76.2625,2007
downingtown,pa,circle,120.0,11/28/2007,40.0063889,-75.7036111,2007
austin,tx,flash,3.0,11/28/2007,30.2669444,-97.7427778,2007
starrsville (covington),ga,sphere,60.0,6/12/2008,33.5394444,-83.8194444,2007
jensen beach,fl,oval,120.0,11/28/2007,27.2541667,-80.23,2007
houston,tx,formation,35.0,11/28/2007,29.7630556,-95.3630556,2007
duluth,mn,light,600.0,1/21/2008,46.7833333,-92.1063889,2007
fleming,co,circle,600.0,11/28/2007,40.68,-102.8388889,2007
van alstyne,tx,other,4.0,11/28/2007,33.4213889,-96.5769444,2007
northglenn,co,triangle,15.0,11/28/2007,39.8855556,-104.9866667,2007
north branch,mn,light,300.0,10/31/2008,45.5113889,-92.98,2008
slingerlands,ny,circle,240.0,10/31/2008,42.6291667,-73.865,2008
carlin,nv,disk,600.0,7/19/2010,40.7138889,-116.1030556,2008
evansville,in,formation,600.0,10/31/2008,37.9747222,-87.5558333,2008
albany,ny,oval,45.0,10/31/2008,42.6525,-73.7566667,2008
fremont,ca,triangle,60.0,10/31/2008,37.5483333,-121.9875,2008
yuma,az,triangle,900.0,10/10/2011,32.7252778,-114.6236111,2008
south bend,in,light,600.0,10/31/2008,41.6833333,-86.25,2008
la crescent,mn,formation,10.0,10/31/2008,43.8280556,-91.3038889,2008
philadelphia,pa,oval,60.0,7/4/2012,39.9522222,-75.1641667,2008
seattle,wa,light,180.0,10/31/2008,47.6063889,-122.3308333,2008
pueblo,co,light,300.0,10/31/2008,38.2544444,-104.6086111,2008
cincinnati,oh,oval,900.0,10/31/2008,39.1619444,-84.4569444,2008
san diego,ca,disk,30.0,10/31/2008,32.7152778,-117.1563889,2008
madison,wi,circle,20.0,10/31/2008,43.0730556,-89.4011111,2008
coldwater,oh,sphere,60.0,10/31/2008,40.4797222,-84.6283333,2008
crested butte,co,egg,60.0,12/12/2009,38.8697222,-106.9872222,2009
anaheim,ca,light,300.0,12/12/2009,33.8352778,-117.9136111,2009
wilmington,nc,light,600.0,12/12/2009,34.2255556,-77.945,2009
leesburg,va,disk,300.0,11/21/2010,39.1155556,-77.5638889,2009
michigan city,in,changing,900.0,12/12/2009,41.7075,-86.895,2009
cupertino,ca,light,180.0,12/12/2009,37.3230556,-122.0311111,2009
orchard park,ny,light,7200.0,1/5/2011,42.7675,-78.7441667,2010
harrisburg,pa,circle,240.0,11/21/2010,40.2736111,-76.8847222,2010
euclid,oh,circle,180.0,11/21/2010,41.5930556,-81.5269444,2010
starr,sc,formation,600.0,11/21/2010,34.3769444,-82.6958333,2010
greenwich,ct,light,240.0,11/21/2010,41.0263889,-73.6288889,2010
north charleston,sc,light,180.0,7/4/2012,32.8544444,-79.975,2010
springfield,va,cigar,15.0,11/21/2010,38.7891667,-77.1875,2010
bridgeport,ct,light,600.0,11/21/2010,41.1669444,-73.2052778,2010
clackamas,or,triangle,120.0,11/21/2010,45.4077778,-122.5691667,2010
san angelo,tx,oval,60.0,11/21/2010,31.4636111,-100.4366667,2010
windsor,ct,fireball,5.0,5/2/2014,41.8525,-72.6441667,2010
sterling,il,cylinder,600.0,11/21/2010,41.7886111,-89.6961111,2010
everett,wa,other,30.0,11/21/2010,47.9791667,-122.2008333,2010
kykotsmovi,az,disk,7200.0,1/31/2011,35.8752778,-110.6197222,2010
albany,ny,circle,10.0,8/30/2013,42.6525,-73.7566667,2010
garden grove,ca,egg,7200.0,11/21/2010,33.7738889,-117.9405556,2010
miami,fl,changing,1200.0,11/21/2010,25.7738889,-80.1938889,2010
troy,ny,triangle,7200.0,10/10/2011,42.7283333,-73.6922222,2011
farmington,nm,circle,300.0,8/30/2013,36.7280556,-108.2180556,2011
prescott valley,az,other,300.0,10/10/2011,34.61,-112.315,2011
ashville,ny,circle,60.0,10/19/2011,42.0963889,-79.3758333,2011
north kingstown,ri,oval,40.0,10/25/2011,41.55,-71.4666667,2011
groton,ct,disk,5.0,10/10/2011,41.35,-72.0788889,2011
mechanicsville,va,light,300.0,10/19/2011,37.6086111,-77.3736111,2011
middletown,ct,fireball,1200.0,10/19/2011,41.5622222,-72.6511111,2011
lakewood,oh,fireball,60.0,12/12/2011,41.4819444,-81.7983333,2011
york,pa,circle,15.0,10/19/2011,39.9625,-76.7280556,2011
north platte,ne,circle,3.0,12/12/2011,41.1238889,-100.765,2011
waynesville,oh,triangle,90.0,10/19/2011,39.5297222,-84.0866667,2011
bridgeport,ct,circle,630.0,10/30/2012,41.1669444,-73.2052778,2012
san diego,ca,sphere,240.0,10/30/2012,32.7152778,-117.1563889,2012
sterling heights,mi,oval,120.0,10/30/2012,42.5802778,-83.0302778,2012
syracuse,ny,light,900.0,10/30/2012,43.0480556,-76.1477778,2012
syracuse,ny,circle,240.0,10/30/2012,43.0480556,-76.1477778,2012
colorado springs,co,light,20.0,10/30/2012,38.8338889,-104.8208333,2012
moundville,al,changing,240.0,10/30/2012,32.9975,-87.63,2012
new york city (bronx),ny,disk,1800.0,10/30/2012,40.7141667,-74.0063889,2012
las cruces,nm,fireball,120.0,10/30/2012,32.3122222,-106.7777778,2012
marion,il,light,240.0,10/30/2012,37.7305556,-88.9330556,2012
san jose,ca,other,6.0,10/30/2012,37.3394444,-121.8938889,2012
phoenix,az,sphere,300.0,10/30/2012,33.4483333,-112.0733333,2012
yakima,wa,light,240.0,10/30/2012,46.6022222,-120.5047222,2012
austin,tx,changing,1200.0,12/20/2012,30.2669444,-97.7427778,2012
bean station,tn,cigar,180.0,10/30/2012,36.3436111,-83.2841667,2012
rochester,wa,light,600.0,11/19/2012,46.8219444,-123.095,2012
suffern,ny,cylinder,20.0,10/30/2012,41.1147222,-74.15,2012
rancho mirage,ca,rectangle,5.0,10/30/2012,33.7397222,-116.4119444,2012
palm harbor,fl,chevron,5.0,10/14/2013,28.0777778,-82.7638889,2013
st. louis county,mo,light,10800.0,10/23/2013,38.6272222,-90.1977778,2013
rittman,oh,light,60.0,10/14/2013,40.9780556,-81.7822222,2013
essex junction,vt,light,120.0,10/14/2013,44.4905556,-73.1113889,2013
kenner,la,circle,600.0,10/14/2013,29.9938889,-90.2416667,2013
drexel,oh,circle,300.0,10/14/2013,39.7463889,-84.2866667,2013
hudson,nh,light,5.0,10/14/2013,42.7647222,-71.4402778,2013
grand blanc,mi,light,1200.0,10/14/2013,42.9275,-83.63,2013
savage,mn,circle,60.0,10/14/2013,44.7791667,-93.3361111,2013
warren,mi,sphere,45.0,10/14/2013,42.4775,-83.0277778,2013
canton,mi,triangle,180.0,10/14/2013,42.3086111,-83.4822222,2013
lost creek,wv,triangle,45.0,10/14/2013,39.1611111,-80.3522222,2013
hudson,nh,light,1.0,10/14/2013,42.7647222,-71.4402778,2013
jupiter,fl,egg,14400.0,7/11/2000,26.9338889,-80.0944444,1973
brighton,mi,circle,300.0,10/28/2002,42.5294444,-83.7802778,1978
minnetonka,mn,light,30.0,10/14/2013,44.9133333,-93.5030556,1987
otto,mo,fireball,60.0,8/19/2000,38.3708333,-90.5002778,1987
kewanee,il,sphere,180.0,10/15/2003,41.2455556,-89.9247222,1989
kewanee,il,sphere,300.0,7/26/2002,41.2455556,-89.9247222,1989
albuquerque,nm,sphere,900.0,3/6/2001,35.0844444,-106.6505556,1992
jackson,nj,triangle,300.0,1/29/2002,39.7763889,-74.8627778,1994
riverside,ca,chevron,4.0,1/28/1999,33.9533333,-117.3952778,1994
damascus,va,light,60.0,9/24/2003,36.6336111,-81.7838889,1996
montara,ca,other,3600.0,11/1/1998,37.5422222,-122.515,1998
vega baja (puerto rico),pr,cigar,120.0,11/1/1998,18.4463889,-66.3880556,1998
mount carmel,tn,light,10.0,11/1/1998,36.5452778,-82.6611111,1998
highland,in,sphere,14400.0,11/1/1998,39.7944444,-87.3958333,1998
bar harbor (bar island crossover),me,sphere,30.0,11/1/1998,44.3875,-68.2044444,1998
elk grove,ca,fireball,4.0,11/1/1998,38.4088889,-121.3705556,1998
montgomery,al,light,180.0,3/21/2003,32.3666667,-86.3,1999
los angeles,ca,light,300.0,10/19/1999,34.0522222,-118.2427778,1999
three rivers,mi,oval,600.0,10/19/1999,41.9438889,-85.6325,1999
canby,or,light,10.0,10/19/1999,45.2630556,-122.6913889,1999
portville,ny,oval,30.0,10/19/1999,42.0386111,-78.3411111,1999
portville,ny,oval,30.0,10/19/1999,42.0386111,-78.3411111,1999
portville,ny,oval,60.0,10/19/1999,42.0386111,-78.3411111,1999
portville,ny,oval,60.0,10/19/1999,42.0386111,-78.3411111,1999
kirbyville (due south of),mo,other,5400.0,10/19/1999,36.6230556,-93.1638889,1999
winnemucca,nv,cigar,2.0,10/19/1999,40.9730556,-117.7347222,1999
ashland,or,triangle,45.0,10/19/1999,42.1947222,-122.7083333,1999
augusta,ks,light,600.0,11/9/1999,37.6866667,-96.9763889,1999
montgomery,tx,light,3600.0,10/19/1999,30.3880556,-95.6961111,1999
eureka springs,ar,light,900.0,11/2/1999,36.4011111,-93.7377778,1999
addison (i-355 and us 20 (lake st.),il,disk,600.0,11/9/1999,41.9316667,-87.9888889,1999
watertown,ny,light,30.0,12/2/2000,43.9747222,-75.9111111,2000
elverta,ca,light,30.0,12/2/2000,38.7138889,-121.4616667,2000
whittier,ca,light,1500.0,12/12/2011,33.9791667,-118.0319444,2000
somerset,wi,light,10800.0,11/20/2001,45.1244444,-92.6733333,2001
fairbanks,ak,other,1800.0,10/12/2001,64.8377778,-147.7163889,2001
denver,co,light,900.0,10/12/2001,39.7391667,-104.9841667,2001
columbia,ms,teardrop,300.0,11/20/2001,31.2516667,-89.8375,2001
grass valley,ca,triangle,60.0,10/12/2001,39.2191667,-121.06,2001
lima,oh,teardrop,300.0,10/12/2001,40.7425,-84.1052778,2001
springfield,mo,fireball,6.0,10/15/2002,37.2152778,-93.2980556,2002
reno,nv,sphere,600.0,10/15/2002,39.5297222,-119.8127778,2002
randolph,ma,cylinder,300.0,11/4/2002,42.1625,-71.0416667,2002
dallas,tx,fireball,3.0,10/28/2002,32.7833333,-96.8,2002
austin,mn,circle,5.0,10/15/2003,43.6666667,-92.9744444,2003
new york city (manhattan),ny,egg,120.0,4/16/2005,40.7141667,-74.0063889,2003
truckee,ca,sphere,3.0,10/15/2003,39.3280556,-120.1822222,2003
newaygo,mi,circle,40.0,11/26/2003,43.4197222,-85.8,2003
placerville,ca,light,600.0,10/31/2003,38.7297222,-120.7975,2003
bloomington,in,disk,180.0,10/15/2003,39.1652778,-86.5263889,2003
independence,mo,chevron,600.0,11/8/2003,39.0911111,-94.4152778,2003
honolulu,hi,triangle,3.0,10/27/2004,21.3069444,-157.8583333,2004
los angeles,ca,rectangle,20.0,10/27/2004,34.0522222,-118.2427778,2004
dallas,or,light,20.0,10/27/2004,44.9194444,-123.3158333,2004
pitman,nj,other,7200.0,10/27/2004,39.7327778,-75.1319444,2004
san jose,ca,light,15.0,10/27/2004,37.3394444,-121.8938889,2004
salinas,ca,formation,2700.0,10/27/2004,36.6777778,-121.6544444,2004
arroyo grande,ca,circle,60.0,12/14/2004,35.1186111,-120.5897222,2004
fresno,ca,rectangle,120.0,11/11/2013,36.7477778,-119.7713889,2004
laredo,tx,fireball,1351.0,12/3/2004,27.5061111,-99.5072222,2004
lake worth,fl,formation,7200.0,10/27/2004,26.6155556,-80.0572222,2004
williamsville,ny,light,540.0,10/27/2004,42.9638889,-78.7380556,2004
holiday,fl,light,180.0,10/20/2005,28.1875,-82.7397222,2005
eagan,mn,circle,7200.0,10/11/2005,44.8041667,-93.1666667,2005
lake point,ut,light,720.0,10/20/2005,40.6808333,-112.2622222,2005
peoria,az,light,5400.0,10/20/2005,33.5805556,-112.2366667,2005
buckeye,az,formation,1800.0,10/20/2005,33.3702778,-112.5830556,2005
casa grande,az,light,1800.0,10/20/2005,32.8794444,-111.7566667,2005
tempe,az,triangle,3.0,10/20/2005,33.4147222,-111.9086111,2005
mobile,al,light,1800.0,10/20/2005,30.6941667,-88.0430556,2005
little ferry,nj,oval,300.0,12/16/2005,40.8527778,-74.0425,2005
wall lake,ia,light,10.0,10/20/2005,42.2711111,-95.0927778,2005
nashville,tn,disk,13.0,10/30/2006,36.1658333,-86.7844444,2006
monterey park,ca,fireball,120.0,12/7/2006,34.0625,-118.1219444,2006
two harbors,mn,light,600.0,12/7/2006,47.0227778,-91.6705556,2006
pensacola,fl,diamond,3600.0,10/30/2006,30.4211111,-87.2169444,2006
milton,fl,light,900.0,10/30/2006,30.6322222,-87.0397222,2006
la crescenta,ca,circle,3.0,10/30/2006,34.2241667,-118.2391667,2006
enid,ok,light,60.0,10/30/2006,36.3955556,-97.8780556,2006
pampa,tx,triangle,60.0,10/30/2006,35.5361111,-100.9594444,2006
rome,ny,oval,120.0,2/1/2007,43.2127778,-75.4561111,2006
melbourne,ky,oval,360.0,11/28/2007,39.0297222,-84.3663889,2007
carlton,or,cylinder,900.0,11/28/2007,45.2944444,-123.1752778,2007
clackamas,or,circle,900.0,11/28/2007,45.4077778,-122.5691667,2007
seattle,wa,triangle,10.0,11/28/2007,47.6063889,-122.3308333,2007
tega cay,sc,light,1800.0,11/28/2007,35.0241667,-81.0280556,2007
gulf shores,al,disk,1800.0,11/28/2007,30.2458333,-87.7008333,2007
brownsville,tx,disk,3.0,10/31/2008,25.9013889,-97.4972222,2008
concord,ca,light,180.0,10/31/2008,37.9780556,-122.03,2008
salisbury,nc,sphere,20.0,10/31/2008,35.6708333,-80.4744444,2008
bridgeport,ct,circle,7200.0,10/31/2008,41.1669444,-73.2052778,2008
dover,md,sphere,7200.0,10/31/2008,39.5122222,-76.7697222,2008
riverside,ca,light,60.0,10/31/2008,33.9533333,-117.3952778,2008
naples,fl,triangle,30.0,10/31/2008,26.1416667,-81.795,2008
centerville,tx,light,900.0,3/19/2009,31.2577778,-95.9780556,2008
albuquerque,nm,fireball,120.0,10/31/2008,35.0844444,-106.6505556,2008
los angeles,ca,triangle,30.0,10/31/2008,34.0522222,-118.2427778,2008
deer park,ny,other,10800.0,12/12/2009,40.7616667,-73.3297222,2009
crisfield,md,light,600.0,12/12/2009,37.9833333,-75.8541667,2009
plymouth,mi,triangle,20.0,6/27/2011,42.3713889,-83.4702778,2009
glendale,az,egg,1200.0,12/12/2009,33.5386111,-112.1852778,2009
louisville,ky,disk,120.0,12/12/2009,38.2541667,-85.7594444,2009
west palm beach,fl,oval,3.0,12/12/2009,26.7052778,-80.0366667,2009
north smithfield,ri,circle,15.0,12/12/2009,41.9666667,-71.55,2009
putnamville,in,flash,540.0,12/12/2009,39.5741667,-86.8652778,2009
madison,wi,light,180.0,12/12/2009,43.0730556,-89.4011111,2009
redondo beach,ca,other,1200.0,11/21/2010,33.8491667,-118.3875,2010
albany,ny,oval,120.0,11/21/2010,42.6525,-73.7566667,2010
west palm beach,fl,sphere,2400.0,11/21/2010,26.7052778,-80.0366667,2010
orangevale,ca,changing,2700.0,11/21/2010,38.6786111,-121.2247222,2010
cottage grove,mn,light,240.0,11/21/2010,44.8277778,-92.9436111,2010
glendora,ca,circle,60.0,11/21/2010,34.1361111,-117.8644444,2010
ramona,ca,triangle,5.0,11/21/2010,33.0416667,-116.8672222,2010
union city,ca,other,15.0,11/21/2010,37.5958333,-122.0180556,2010
omaha,il,chevron,120.0,10/19/2011,37.8902778,-88.3030556,2011
henderson,nv,other,180.0,10/19/2011,36.0397222,-114.9811111,2011
cedar city,ut,light,8.0,10/19/2011,37.6775,-113.0611111,2011
des moines,ia,light,90.0,12/12/2011,41.6005556,-93.6088889,2011
new bedford,ma,circle,1800.0,12/12/2011,41.6361111,-70.9347222,2011
holden beach,nc,circle,30.0,10/19/2011,33.9133333,-78.3041667,2011
watchung (was my perspective),nj,sphere,3600.0,10/30/2012,40.6377778,-74.4513889,2012
tewksbury,ma,light,2.0,10/30/2012,42.6105556,-71.2347222,2012
angola,in,cigar,7200.0,10/30/2012,41.6347222,-84.9994444,2012
arbutus,md,light,300.0,10/30/2012,39.2544444,-76.7002778,2012
forty fort,pa,fireball,720.0,10/30/2012,41.2788889,-75.8786111,2012
saratoga springs,ny,circle,300.0,10/30/2012,43.0830556,-73.785,2012
nanticoke,pa,diamond,60.0,10/30/2012,41.2052778,-76.0052778,2012
las cruces,nm,fireball,120.0,10/30/2012,32.3122222,-106.7777778,2012
ravensdale,wa,triangle,10.0,10/30/2012,47.3525,-121.9825,2012
levittown,pa,diamond,60.0,10/30/2012,40.155,-74.8291667,2012
phoenix,az,sphere,30.0,10/30/2012,33.4483333,-112.0733333,2012
blue island,il,circle,45.0,10/30/2012,41.6572222,-87.68,2012
saginaw,mi,chevron,4.0,10/14/2013,43.4194444,-83.9508333,2013
ankeny,ia,circle,120.0,10/14/2013,41.7297222,-93.6055556,2013
palm beach gardens,fl,light,15.0,10/14/2013,26.8230556,-80.1388889,2013
kalamazoo,mi,fireball,600.0,10/14/2013,42.2916667,-85.5872222,2013
essex junction,vt,light,60.0,10/14/2013,44.4905556,-73.1113889,2013
cincinnati,oh,circle,300.0,2/21/2014,39.1619444,-84.4569444,2013
cincinnati,oh,fireball,240.0,10/14/2013,39.1619444,-84.4569444,2013
naples,fl,light,7200.0,10/14/2013,26.1416667,-81.795,2013
cincinnati,oh,fireball,60.0,10/14/2013,39.1619444,-84.4569444,2013
union,ky,fireball,300.0,10/23/2013,38.9458333,-84.6805556,2013
hubbardston,ma,fireball,60.0,10/14/2013,42.4736111,-72.0066667,2013
covington,ga,light,300.0,10/14/2013,33.5966667,-83.8602778,2013
drexel,oh,sphere,180.0,10/14/2013,39.7463889,-84.2866667,2013
fayetteville,ny,chevron,90.0,10/14/2013,43.0297222,-76.0047222,2013
jupiter,fl,light,900.0,10/14/2013,26.9338889,-80.0944444,2013
melbourne,fl,sphere,300.0,10/14/2013,28.0833333,-80.6083333,2013
dresser,wi,sphere,60.0,10/14/2013,45.3561111,-92.6333333,2013
lombard,il,formation,60.0,10/14/2013,41.88,-88.0077778,2013
north canton,oh,fireball,10.0,10/14/2013,40.8758333,-81.4025,2013
pinckney,mi,fireball,2.0,10/14/2013,42.4566667,-83.9463889,2013
pikeville,ky,disk,600.0,4/16/2005,37.4791667,-82.5188889,1950
kansas city,mo,disk,90.0,10/31/2008,39.0997222,-94.5783333,1952
flatwoods,wv,circle,60.0,4/12/2013,38.7230556,-80.65,1954
newport,nh,rectangle,300.0,4/16/2005,43.3652778,-72.1738889,1956
paterson,nj,disk,10.0,4/16/2005,40.9166667,-74.1722222,1957
toledo,oh,sphere,180.0,11/19/1998,41.6638889,-83.5552778,1961
tulsa,ok,disk,120.0,4/27/2007,36.1538889,-95.9925,1961
nashville,tn,disk,1800.0,8/5/2012,36.1658333,-86.7844444,1961
graham,nc,triangle,30.0,5/14/2002,36.0688889,-79.4008333,1961
